key,Unnamed: 0,fare_amount,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
2009-01-01 00:00:00,1756779842,621.2,42.3647,-71.0542,42.3588,-71.0707,113
2009-01-02 00:00:00,1578947277,739.55,42.3429,-71.1003,42.3429,-71.1003,113
2009-01-03 00:00:00,2355445751,935.7,42.3588,-71.0707,42.3661,-71.0631,147
2009-01-04 00:00:00,2078662060,733.3,42.3519,-71.0551,42.3519,-71.0551,132
2009-01-05 00:00:00,1929909985,550.95,42.3559,-71.055,42.3519,-71.0551,109
2009-01-06 00:00:00,1816139446,641.35,42.3398,-71.0892,42.3429,-71.1003,100
2009-01-07 00:00:00,1493008941,623.15,42.2148,-71.033,42.2148,-71.033,99
2009-01-08 00:00:00,2622763326,782.35,42.3661,-71.0631,42.3661,-71.0631,170
2009-01-09 00:00:00,2533545798,854,42.3519,-71.0551,42.3661,-71.0631,140
2009-01-10 00:00:00,1913834504,726.8,42.3647,-71.0542,42.3661,-71.0631,115
2009-01-11 00:00:00,2152186496,775.2,42.3647,-71.0542,42.3588,-71.0707,143
2009-01-12 00:00:00,2269130202,748.95,42.3588,-71.0707,42.3505,-71.1054,134
2009-01-13 00:00:00,2434054496,802.2,42.3429,-71.1003,42.2148,-71.033,118
2009-01-14 00:00:00,2347829250,759.85,42.3398,-71.0892,42.3519,-71.0643,128
2009-01-15 00:00:00,1951381723,828.5,42.3661,-71.0631,42.3519,-71.0643,120
2009-01-16 00:00:00,2627082934,953.4,42.3588,-71.0707,42.3505,-71.1054,154
2009-01-17 00:00:00,2513311674,827.75,42.2148,-71.033,42.2148,-71.033,172
2009-01-18 00:00:00,2482131008,707.3,42.3588,-71.0707,42.3519,-71.0643,165
2009-01-19 00:00:00,1979969409,782.6,42.3398,-71.0892,42.3647,-71.0542,122
2009-01-20 00:00:00,1985404356,560.7,42.3429,-71.1003,42.3503,-71.081,88
2009-01-21 00:00:00,2193474798,783.95,42.3429,-71.1003,42.3519,-71.0643,136
2009-01-22 00:00:00,2434703638,919,42.3505,-71.1054,42.3503,-71.081,136
2009-01-23 00:00:00,2544608508,828.65,42.2148,-71.033,42.3519,-71.0643,143
2009-01-24 00:00:00,2593263047,866.65,42.3661,-71.0631,42.3644,-71.0661,181
2009-01-25 00:00:00,2143351329,768.85,42.2148,-71.033,42.3647,-71.0542,135
2009-01-26 00:00:00,1889162775,760.85,42.3519,-71.0643,42.3429,-71.1003,118
2009-01-27 00:00:00,3042753404,973.5,42.3519,-71.0643,42.3647,-71.0542,172
2009-01-28 00:00:00,1867020605,564.7,42.2148,-71.033,42.3505,-71.1054,121
2009-01-29 00:00:00,2656653365,1210.45,42.3647,-71.0542,42.3505,-71.1054,124
2009-01-30 00:00:00,2323702572,816.75,42.3519,-71.0643,42.3503,-71.081,165
2009-01-31 00:00:00,3377052355,1023.65,42.3519,-71.0643,42.3661,-71.0631,212
2009-02-01 00:00:00,1907862569,673.6,42.3519,-71.0551,42.3661,-71.0631,125
2009-02-02 00:00:00,2075568051,792.35,42.3429,-71.1003,42.3429,-71.1003,103
2009-02-03 00:00:00,2126491105,722.8,42.3647,-71.0542,42.3661,-71.0631,139
2009-02-04 00:00:00,1417354819,459.4,42.3588,-71.0707,42.3588,-71.0707,82
2009-02-05 00:00:00,2045705910,718.45,42.3647,-71.0542,42.3661,-71.0631,123
2009-02-06 00:00:00,2549189176,867.55,42.2148,-71.033,42.3661,-71.0631,140
2009-02-07 00:00:00,2398436535,784.95,42.3559,-71.055,42.3661,-71.0631,164
2009-02-08 00:00:00,2174212825,751.7,42.3661,-71.0631,42.2148,-71.033,119
2009-02-09 00:00:00,2255465078,828.2,42.3661,-71.0631,42.3661,-71.0631,111
2009-02-10 00:00:00,2440789152,741.95,42.3398,-71.0892,42.3647,-71.0542,133
