STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
72407493780,1/1/2009,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",22.5,24,0.9,24,1023,24,21.1,24,10,24,9.1,24,17.1,33,28, ,18, ,0,G,999.9,0
72407493780,1/2/2009,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",27.2,24,16.9,24,1017.1,23,14.9,24,9.6,24,3.4,24,12,19,36, ,16, ,0,G,999.9,1000
72407493780,1/3/2009,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",34.1,24,18.3,24,1015,24,13.1,24,10,24,7.6,24,15.9,21,37.9, ,30, ,0,G,999.9,0
72407493780,1/4/2009,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",33,24,11.4,24,1020.1,24,18.2,24,10,24,4,24,7,999.9,42.1, ,25, ,0,G,999.9,0
72407493780,1/5/2009,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",42.1,24,28.1,24,1015.5,23,13.6,24,10,24,3.4,24,8,999.9,48, ,37.9, ,0,G,999.9,10000
72407493780,1/6/2009,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",35.9,24,17.8,24,1016.8,21,14.5,24,8.9,24,3.2,24,7,999.9,42.1, ,32, ,0,G,999.9,10000
72407493780,1/7/2009,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",36.1,24,34.1,24,995.7,9,997,24,4.1,24,4.8,24,8,999.9,42.1, ,32, ,0.96,G,999.9,11000
72407493780,1/8/2009,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",38,24,24.3,24,997.9,22,995.3,24,9.5,24,11.5,24,15.9,31.1,42.1, ,33.1, ,0.97,G,999.9,10000
72407493780,1/9/2009,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",30.5,24,15.7,24,1014.7,24,12.7,24,10,24,9.3,24,13,20,35.1, ,28, ,0,G,999.9,0
72407493780,1/10/2009,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",30,24,20.2,24,1024.2,22,21.8,24,9.4,24,3.9,24,9.9,999.9,35.6,*,26.1,*,0,G,999.9,1000
72407493780,1/11/2009,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",32,24,26.1,24,1012.3,17,10.4,24,7.1,24,6.6,24,13,25.1,33.8,*,28.4,*,0.11,G,999.9,1000
72407493780,1/12/2009,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",27.5,24,15.9,24,1020.8,24,18.9,24,10,24,4.7,24,8.9,17.1,35.1, ,21.9, ,0.06,G,999.9,0
